Date,Question,Action Required,Type,Priority,Completed
2026-01-14,Q14 - India WPI,Check Dec 2025 WPI release (denominator for Jan calculation),Data Release,HIGH,
2026-01-15,Q02 - Russia Sanctions,Check Senate floor schedule for S.1241 vote,Legislative,HIGH,
2026-01-15,Q09 - US PMI,Analyze Dec ISM (47.9) vs S&P Global (51.8) divergence,Analysis,MEDIUM,
2026-01-15,Q10 - ASML China,Monitor for Q4 2025 earnings announcement,Earnings,HIGH,
2026-01-15,Q15 - S&P/Payrolls,Complete initial forecast using Dec payrolls data,Forecast,MEDIUM,
2026-01-16,Q04 - US-China Tariffs,Reassess Iran tariff impact - consider 45-48%?,Recalibration,MEDIUM,
2026-01-17,Q01 - X/Grok,CHECK OPEN-SOURCE RELEASE - critical update trigger,Major Event,CRITICAL,
2026-01-20,Q03 - AI Layoffs,Weekly check of layoffs.fyi AI industry filter,Monitor,MEDIUM,
2026-01-20,Q05 - NVIDIA,Weekly news check (low priority baseline),Monitor,LOW,
2026-01-20,Q07 - Olympics,Check for Norwegian athlete injuries pre-Games,Monitor,MEDIUM,
2026-01-27,Q08 - OpenAI Pricing,Check for model announcements (GPT-5.3/6),Monitor,LOW,
2026-01-27,Q12 - Utility Capex,NEXTERA EARNINGS - major update trigger,Earnings,CRITICAL,
2026-01-28,Q11 - Hyperscaler Capex,Monitor earnings: MSFT/GOOG/AMZN schedules,Earnings,HIGH,
2026-01-29,Q10 - ASML China,RESOLUTION DATE - final data,Resolution,HIGH,
2026-02-01,Q13 - Grammy,GRAMMY AWARDS - question resolves,Resolution,HIGH,
2026-02-05,Q12 - Utility Capex,Entergy earnings (7-12 GW DC pipeline),Earnings,HIGH,
2026-02-06,Q12 - Utility Capex,PG&E earnings (10 GW DC pipeline),Earnings,HIGH,
2026-02-06,Q07 - Olympics,QUESTION CLOSES - final forecast,Close,MEDIUM,
2026-02-07,Q15 - S&P/Payrolls,QUESTION CLOSES - final forecast,Close,MEDIUM,
2026-02-12,Q12 - Utility Capex,Southern Company/Duke/Exelon earnings,Earnings,MEDIUM,
2026-02-15,Q14 - India WPI,Jan 2026 WPI release - RESOLUTION,Resolution,HIGH,
2026-02-20,Q12 - Utility Capex,PPL Corp/CenterPoint earnings,Earnings,MEDIUM,
2026-02-28,Multiple,CLOSE: Q01 Q03 Q08 Q11 Q12,Close,HIGH,
2026-03-03,Q09 - US PMI,Feb 2026 PMI release - RESOLUTION,Resolution,MEDIUM,
2026-03-14,Multiple,CLOSE: Q02 Q04 Q05,Close,HIGH,